delta,stability_error,is_minimum,E_phi_canonical,E_conjV,spectral_confinement_ratio,circular_resolved
0.0,0.008284184158816706,1,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.07142857142857142,0.02660848748227204,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.14285714285714285,0.0734348528255943,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.21428571428571427,0.1032791762891958,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.2857142857142857,0.11729179795011024,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.3571428571428571,0.12508022555591558,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.42857142857142855,0.1305277529139849,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.5,0.13456198530981708,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.5714285714285714,0.1377197089547854,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.6428571428571428,0.14022066200461347,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.7142857142857142,0.14225043804990398,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.7857142857142857,0.14393072456726871,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.8571428571428571,0.14534462827897643,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
0.9285714285714285,0.1465508418430884,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
1.0,0.1475919954046469,0,0.008284184158816706,0.02476707630115422,2.264912358279029e-10,1
